Hospital;DQ category;"Data Quality Issue Description [Text]

Example: “Update of the extraction plugin went wrong.”";"The Data Quality issue was discovered in: [Text]

Example: “DIS”, “QC Script”";Data affected;"Where is/was the DQ issue located? 

Select one or more of: 
primary documentation
(during the documentation of clinic personnel)
source system
(during technical data processing, while in care)
data export (during data export)
Data Integration System
(during integration into DIS)
Data Quality Script
(during execution of DQ script)
OPAL/DataSHIELD
(during importing into OPAL or during data analysis)";"Error Category

Select one or more of: 
Documentation system problem
(error due to the documentation system)
incorrect usage
(error due to misconfiguration, misspellings, etc.)
technical issue (security issues, update issues, connectivity issues, charset issues, etc.)
system integration problem (software changes in the documentation system, new laboratory machines, new software system, etc.)";Amount of time needed to discover [h] ;Solved [✅ / ⚠️];"Total solving time for everyone involved (if three people were involved, each of them for 6 hours, then the result is 18 hours)

Example: “24h”";"Do you have any suggestions on how to decrease the solving time? [Text]

Example: “Implement a test environment before productive deployment.”";"How much solving time would you have saved with your suggestion?

Select one: 
None [0%]
very low (0%-20%]
low (20%-40%]
medium (40%-60%]
high (60%-80%]
very high (80%-100%]"
1;value conformance;Amount of lesions are not an integer;merge script;imaging data;data export;incorrect usage;1h;⚠️;2h;Check the completeness of the data in the merge process;low
1;completeness;exports did not include all requested files ;QC Script;data general;data export;incorrect usage;4h;✅;6h;Check the completeness of the data in the merge process;very high
1;relational conformance;missing IgG and IgG Index values due to version changes in the liquordocument;QC Script;lab data;data export;documentation system problem;6h;✅;72h;Check for unexpected data columns ;very high
1;relational conformance;The delay between the time of electronic documentation and examination time affected data accuracy.;QC Script;visit data;primary documentation;documentation system problem;6h;⚠️;12h;Checking the quality of the data after exporting it.;medium
1;completeness;Missing mandatory laboratory values due to the replacement of laboratory machines.;QC Script ;lab data;primary documentation;system integration problem;18h;✅;20h;Checking the quality of the data after exporting it.;medium
1;relational conformance;An updated version of the reporting form used by the study nurse resulted in a different file export structure.;Merge Data;metadata;Data export;system integration problem;6h;✅;48h;Checking the quality of the data after merging it with the older monthly exports.;high
1;uniqueness plausibility;Multiple files documenting the visit were found in the source system, although just one per visit is/was expected.;QC Script ;visit data;primary documentation;documentation system problem;12h;⚠️;16h;Checking the quality of the data after exporting it.;high
1;completeness;The configuration of the processing pipeline was wrong.;QC Script ;metadata;Data export;wrong usage;12h;✅;24h;Better logging of the processing pipeline.;very high
2;completeness;Missing data: some visits have been missing in the DIS;internal QC Script;visit data;primary documentation;wrong usage;5h ;✅;30h;Double check IDs, status, consent.;high
2;completeness;Missing data: some fields/variables have been missing in the DIS;internal QC Script;metadata;DIS;wrong usage;15h;✅;20h;Use complete test data set (ALL ProVal variables) when verifying the import to the DIS.;high
2;completeness;Missing data: liquor data;internal QC Script;liquor data;DIS;wrong usage;5h;✅;20h;/;none
2;completeness;"Missing data: imaging data. 

Various reasons:
system for (structured) documentation down/not ready at the time of examination (early phase of ProVal)
missing tags for ProVal study
data (sometimes) not captured in a structured way, but free text
difficult assignment of data to visits";internal QC Script / QC Script;image data;source system;wrong issue;10h;✅;70h;"- make sure ALL systems are ready to use at study start
- regular monitoring to identify issues early";medium
2;completeness;Missing data: clinical data (for some patients some variables were missing (e.g. EDSS, BDI, FSMC, … at a certain visit)). Not a structural issue, but documentation of variables may have been simply forgotten.;QC script;lab data;primary documentation;wrong usage;10h;⚠️;20h;more extensive checks in the primary system;medium
2;value conformance;"wrong/implausible data (mostly typos in dates (e.g. 70 instead of 1970; 2002 instead of 2020, etc.)

in very few cases: wrong diagnosis (-> patients would have not fulfilled inclusion criteria))";QC script;visit data;primary documentation;wrong usage;10h;⚠️;20h;more extensive checks in the primary system;medium
3;relational conformance;MRI images could not be matched to visits of ProVal study;QC script;image data;source system;documentation system problem;10h;⚠️;12h;implementation of MINT, that is directly linked to ProVal study;very high
3;completeness, plausibility;Missing or incorrect entries in the source system;QC script / on-site monitoring;visit data;primary documentation;wrong usage;10h;⚠️;15h;Data validation directly within the source system and automation of score calculations;medium
3;completeness;Missing structured MRI reports;internal QC script;image data;source system;documentation system problem;10h;✅;70h;(Documentation) systems need to be established at the start of the project, with verification that they comply with all technical and functional requirements ;very high
3;uniqueness plausibility;Duplicate entries of laboratory data;internal QC script;lab data;DIS;technical issue;3h;✅;5h;;none
4;uniqueness plausibility;"duplicate entries: CSF; Error in the DIS due to change in the study protocol.";QC script;liquor data;DIS;wrong usage;1h;✅;6h;;none
4;relational conformance;PMD/DIS fields do not match: Not all values ​​could be entered in the PMD;QC script;metadata;primary documentation;wrong usage;10h;✅;70h;Update PMD-Version, but might have been even more complicated. Check in advance, which version is required and whether all required data are delivered to the DIS.;high
